Дата операции,Референс проводки,Приход,Расход
2/8/2022 17:00,CRD_7HW039,0,2279.13
2/8/2022 14:00,CRD_5MW4UB,0,965.81
2/8/2022 11:00,CRD_4V296B,0,120
2/8/2022 8:00,CRD_1YA929,0,140
2/7/2022 21:50,CRD_9134X0,0,93
2/7/2022 20:41,CRD_9X1495,0,50
2/7/2022 19:32,CRD_9UB7C3,0,80
2/7/2022 18:23,CRD_80R0V0,0,238
2/7/2022 17:13,CRD_62E9E3,0,90
2/7/2022 16:04,CRD_6YT8X2,0,3750
2/7/2022 14:55,CRD_5300U0,0,306
2/7/2022 13:46,CRD_4SM2U0,0,412
2/7/2022 12:36,CRD_31R3U0,0,110
2/7/2022 11:27,CRD_3MW6E3,0,110
2/7/2022 10:18,CRD_2FV7U0,0,327
2/7/2022 9:09,CRD_1Y62M5,0,2710.5
2/7/2022 8:00,C160702220063953,0,4000
2/6/2022 21:45,CRD_33U14T,0,80
2/6/2022 20:30,CRD_2UU9UN,0,279
2/6/2022 19:15,CRD_7YV8VN,0,1302.97
2/6/2022 18:00,CRD_6FE1TT,0,1903
2/6/2022 16:45,CRD_54E4MT,0,616
2/6/2022 15:30,CRD_5N120U,0,75
2/6/2022 14:15,CRD_45W5WN,0,334
2/6/2022 13:00,CRD_4AE1YT,0,400
2/6/2022 11:45,CRD_31U93T,0,71
2/6/2022 10:30,CRD_24H7YT,0,40
2/6/2022 9:15,MOYB 06202000606,0,99
2/6/2022 8:00,A010602220026504,0,876
2/5/2022 21:20,CRD_80N88H,0,2558.86
2/5/2022 19:40,CRD_8UV34C,0,250
2/5/2022 18:00,CRD_4V614H,0,101.6
2/5/2022 16:20,CRD_2VH6BH,0,425.4
2/5/2022 14:40,CRD_1C843H,0,1759
2/5/2022 13:00,CRD_7806WC,0,200
2/5/2022 11:20,CRD_4WX6V8,0,7100
2/5/2022 9:40,C070502220049241,0,200
2/5/2022 8:00,B010502220012341,0,30000
2/4/2022 20:00,CRD_7M59ZV,0,2434.8
2/4/2022 17:00,OP1ED2224001LEHT,0,520.2
2/4/2022 14:00,OP1ED2224001JWK6,1734,0
2/4/2022 11:00,OP1ED2224001LEGY,0,35315.7
2/4/2022 8:00,OP1ED2224001JWK7,117719.01,0
2/3/2022 15:30,CRD_4NF7MM,0,480
2/3/2022 8:00,CRD_6234TM,0,1620
2/2/2022 20:30,B010202220347218,4810,0
2/2/2022 18:00,CRD_6RW329,0,520
2/2/2022 15:30,CRD_8RA8W8,0,890
2/2/2022 13:00,CRD_6391F8,0,7551.1
2/2/2022 10:30,B010202220120166,7000,0
2/2/2022 8:00,CRD_6391F8',0,7551.1
2/1/2022 21:07,CRD_79V78Y,0,295.82
2/1/2022 19:15,CRD_7WK66Y,0,596
2/1/2022 17:22,A010102220142380,0,350
2/1/2022 15:30,B010102220184532,3000,0
2/1/2022 13:37,A010102220142380',0,350
2/1/2022 11:45,CRD_2EF6NV,0,3380
2/1/2022 9:52,B010102220083730,2000,0
2/1/2022 8:00,CRD_2EF6NV',0,3380
1/31/2022 21:20,CRD_88Y57E,0,18800
1/31/2022 19:40,PML0628AJLQ9C001,75.02,0
1/31/2022 18:00,B013101220124335,2000,0
1/31/2022 16:20,CRD_20N4BE,0,279
1/31/2022 14:40,CRD_20F8CH,0,822
1/31/2022 13:00,B013101220024519,15000,0
1/31/2022 11:20,CRD_88Y57E',0,18800
1/31/2022 9:40,CRD_43A2ME,0,1864.52
1/31/2022 8:00,CRD_4771BF,0,2028
1/30/2022 20:00,CRD_7R48U5,0,279
1/30/2022 17:00,CRD_5ET0R5,0,487
1/30/2022 14:00,CRD_3KC7R7,0,166
1/30/2022 11:00,CRD_1ZX157,0,2285.3
1/30/2022 8:00,CRD_1S18T7,0,415
1/29/2022 21:20,CRD_85W2VU,0,558
1/29/2022 19:40,CRD_8W10RV,0,3687
1/29/2022 18:00,CRD_9Z09H0,0,1635
1/29/2022 16:20,CRD_77R9HU,0,2580
1/29/2022 14:40,CRD_4310SU,0,279
1/29/2022 13:00,CRD_4WX4SU,0,170
1/29/2022 11:20,CRD_3TY3NU,0,964
1/29/2022 9:40,CRD_3KE3Z1,0,3505
1/29/2022 8:00,CRD_20123Y,0,9209
